@relation dataset_mysql_optimizer

@attribute Filename string
@attribute AltAvgLineBlank numeric
@attribute AltAvgLineCode numeric
@attribute AltAvgLineComment numeric
@attribute AltCountLineBlank numeric
@attribute AltCountLineCode numeric
@attribute AltCountLineComment numeric
@attribute AvgCyclomatic numeric
@attribute AvgCyclomaticModified numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgEssential numeric
@attribute AvgLine numeric
@attribute AvgLineBlank numeric
@attribute AvgLineCode numeric
@attribute AvgLineComment numeric
@attribute CountClassBase numeric
@attribute CountClassCoupled numeric
@attribute CountClassDerived numeric
@attribute CountDeclClass numeric
@attribute CountDeclClassMethod numeric
@attribute CountDeclClassVariable numeric
@attribute CountDeclFunction numeric
@attribute CountDeclInstanceMethod numeric
@attribute CountDeclInstanceVariable numeric
@attribute CountDeclInstanceVariablePrivate numeric
@attribute CountDeclInstanceVariableProtected numeric
@attribute CountDeclInstanceVariablePublic numeric
@attribute CountDeclMethod numeric
@attribute CountDeclMethodAll numeric
@attribute CountDeclMethodConst numeric
@attribute CountDeclMethodFriend numeric
@attribute CountDeclMethodPrivate numeric
@attribute CountDeclMethodProtected numeric
@attribute CountDeclMethodPublic numeric
@attribute CountInput numeric
@attribute CountLine numeric
@attribute CountLineBlank numeric
@attribute CountLineCode numeric
@attribute CountLineCodeDecl numeric
@attribute CountLineCodeExe numeric
@attribute CountLineComment numeric
@attribute CountLineInactive numeric
@attribute CountLinePreprocessor numeric
@attribute CountOutput numeric
@attribute CountPath numeric
@attribute CountSemicolon numeric
@attribute CountStmt numeric
@attribute CountStmtDecl numeric
@attribute CountStmtEmpty numeric
@attribute CountStmtExe numeric
@attribute Cyclomatic numeric
@attribute CyclomaticModified numeric
@attribute CyclomaticStrict numeric
@attribute Essential numeric
@attribute Knots numeric
@attribute MaxCyclomatic numeric
@attribute MaxCyclomaticModified numeric
@attribute MaxCyclomaticStrict numeric
@attribute MaxEssentialKnots numeric
@attribute MaxInheritanceTree numeric
@attribute MaxNesting numeric
@attribute MinEssentialKnots numeric
@attribute PercentLackOfCohesion numeric
@attribute RatioCommentToCode numeric
@attribute SumCyclomatic numeric
@attribute SumCyclomaticModified numeric
@attribute SumCyclomaticStrict numeric
@attribute SumEssential numeric
@attribute n1 numeric
@attribute n2 numeric
@attribute N1 numeric
@attribute N2 numeric
@attribute Len numeric
@attribute Voc numeric
@attribute Vol numeric
@attribute Dif numeric
@attribute Eff numeric
@attribute AllocOps numeric
@attribute DeallocOps numeric
@attribute DerefUse numeric
@attribute UniqueDerefUse numeric
@attribute DerefSet numeric
@attribute UniqueDerefSet numeric
@attribute AgingRelatedBugs numeric


@data
sql/field.cc , 1.00 , 18.00 , 1.61 , 1062.93 , 7402.54 , 2060.07 , 4.00 , 4.00 , 5.00 , 1.00 , 20.00 , 1.00 , 16.00 , 1.43 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 376.04 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 10403.07 , 1047.93 , 6597.54 , 1716.96 , 4179.54 , 2041.07 , 620.00 , 207.00 , 0.00 , 0.00 , 3185.68 , 4297.64 , 1052.46 , 51.93 , 3193.25 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 89.04 , 60.61 , 112.04 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.31 , 1530.25 , 1387.75 , 1997.89 , 514.61 , 5703.93 , 7294.46 , 20005.25 , 14764.18 , 34769.43 , 12998.39 , 191364.14 , 5406.46 , 4990007.46 , 26.64 , 0.00 , 18.79 , 9.71 , 0.29 , 0.29 , 0 
sql/field.h , 0.00 , 3.00 , 0.00 , 138.86 , 1776.79 , 316.18 , 1.00 , 1.00 , 1.00 , 1.00 , 3.00 , 0.00 , 3.00 , 0.00 , 0.00 , 0.00 , 0.00 , 30.00 , 0.00 , 0.00 , 345.21 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 2189.71 , 137.86 , 1594.75 , 1168.68 , 416.86 , 315.18 , 110.00 , 74.04 , 0.00 , 0.00 , 882.04 , 1264.79 , 871.89 , 0.04 , 392.86 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 5.00 , 5.00 , 6.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.20 , 380.29 , 380.29 , 391.79 , 345.21 , 2568.21 , 1975.07 , 3993.61 , 2779.57 , 6773.18 , 4543.29 , 27033.11 , 1572.36 , 175223.82 , 2.00 , 4.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0 
sql/field_conv.cc , 0.00 , 16.00 , 1.00 , 91.00 , 638.00 , 124.71 , 3.00 , 3.00 , 4.43 , 2.00 , 17.43 , 0.00 , 16.00 , 1.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 39.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 838.86 , 91.00 , 633.43 , 87.00 , 402.29 , 123.86 , 1.71 , 3.71 , 0.00 , 0.00 , 233.71 , 356.29 , 74.00 , 0.00 , 282.29 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 37.00 , 32.00 , 54.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.19 , 124.71 , 118.00 , 173.71 , 86.71 , 497.14 , 704.43 , 2142.00 , 1555.57 , 3697.57 , 1201.57 , 20082.29 , 502.57 , 453010.93 , 0.00 , 0.00 , 286.00 , 49.00 , 32.00 , 12.00 , 0 
sql/filesort.cc , 3.00 , 59.00 , 7.00 , 118.00 , 1276.18 , 381.50 , 11.00 , 10.00 , 12.00 , 5.00 , 65.00 , 3.00 , 56.00 , 7.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 21.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 1695.68 , 118.00 , 1206.18 , 167.29 , 773.82 , 377.50 , 30.00 , 41.00 , 0.00 , 0.00 , 612.82 , 826.82 , 132.29 , 10.00 , 684.54 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 34.00 , 31.00 , 42.29 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.31 , 224.00 , 214.00 , 253.29 , 110.00 , 449.29 , 878.50 , 3830.61 , 2808.14 , 6638.75 , 1327.79 , 43348.04 , 686.61 , 2430504.54 , 0.00 , 0.00 , 298.00 , 61.00 , 75.00 , 20.00 , 0 
sql/item.cc , 0.00 , 14.00 , 2.00 , 894.39 , 5135.64 , 1694.21 , 3.00 , 3.00 , 4.00 , 1.00 , 16.18 , 0.00 , 14.00 , 2.00 , 0.00 , 0.00 , 0.00 , 1.00 , 0.00 , 0.00 , 362.46 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 7673.89 , 894.39 , 5088.64 , 943.29 , 3111.14 , 1693.21 , 21.00 , 27.00 , 0.00 , 0.00 , 2287.86 , 3338.14 , 812.43 , 15.18 , 2510.54 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 38.11 , 36.00 , 55.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.33 , 1244.75 , 1082.29 , 1492.00 , 665.61 , 4402.43 , 5742.39 , 15053.00 , 10703.50 , 25756.50 , 10144.82 , 137939.89 , 3728.89 , 3066727.54 , 70.29 , 1.00 , 149.50 , 47.71 , 12.00 , 8.00 , 0 
sql/item.h , 0.00 , 3.00 , 0.00 , 314.36 , 1927.61 , 927.18 , 1.00 , 1.00 , 1.00 , 1.00 , 3.00 , 0.00 , 3.00 , 0.00 , 0.00 , 0.00 , 0.00 , 57.93 , 0.00 , 0.00 , 390.18 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 3141.79 , 314.36 , 1900.61 , 1201.18 , 487.46 , 926.18 , 13.00 , 26.00 , 0.00 , 0.00 , 1039.04 , 1490.57 , 1025.29 , 0.00 , 465.29 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 7.00 , 3.00 , 7.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.49 , 427.54 , 422.54 , 437.00 , 392.18 , 2632.79 , 1934.32 , 3737.00 , 2426.79 , 6163.79 , 4567.11 , 23092.96 , 1474.39 , 113315.14 , 8.00 , 3.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0 
sql/item_buff.cc , 0.00 , 10.29 , 1.00 , 22.00 , 109.57 , 38.00 , 3.00 , 2.00 , 3.00 , 2.00 , 11.00 , 0.00 , 10.29 , 1.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 10.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 164.57 , 22.00 , 104.57 , 21.57 , 59.00 , 38.00 , 2.00 , 3.00 , 0.00 , 0.00 , 40.00 , 68.00 , 17.00 , 0.00 , 51.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 7.00 , 6.00 , 8.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.37 , 27.00 , 23.00 , 32.00 , 20.00 , 113.00 , 109.29 , 298.00 , 195.29 , 493.29 , 222.29 , 2368.14 , 97.00 , 31192.29 , 5.00 , 0.00 , 4.00 , 1.00 , 0.00 , 0.00 , 0 
sql/item_cmpfunc.cc , 1.00 , 16.00 , 2.00 , 595.68 , 3789.82 , 1187.07 , 4.00 , 4.00 , 5.00 , 2.00 , 18.14 , 1.00 , 16.00 , 2.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 232.39 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 5505.93 , 595.68 , 3772.82 , 720.64 , 2289.61 , 1186.07 , 2.00 , 17.00 , 0.00 , 0.00 , 1820.96 , 2638.75 , 654.04 , 4.75 , 1979.96 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 47.00 , 43.00 , 59.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.31 , 993.54 , 968.54 , 1188.82 , 534.39 , 3270.86 , 3697.25 , 11680.89 , 8241.04 , 19921.93 , 6968.11 , 107376.61 , 3394.18 , 3215451.93 , 47.00 , 4.00 , 121.43 , 41.86 , 22.54 , 12.86 , 0 
sql/item_cmpfunc.h , 0.00 , 2.00 , 0.00 , 183.61 , 1272.86 , 344.71 , 1.00 , 1.00 , 1.00 , 1.00 , 2.00 , 0.00 , 2.00 , 0.00 , 0.00 , 0.00 , 0.00 , 66.00 , 0.00 , 0.00 , 307.36 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 1745.61 , 178.61 , 1240.86 , 807.29 , 289.68 , 343.71 , 31.00 , 8.00 , 0.00 , 0.00 , 643.14 , 1017.50 , 744.39 , 0.00 , 273.11 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 4.00 , 4.00 , 4.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.28 , 334.36 , 334.36 , 336.93 , 309.36 , 1911.00 , 1268.86 , 2592.07 , 1632.21 , 4224.29 , 3179.86 , 15169.93 , 1051.43 , 79190.57 , 8.00 , 2.39 , 4.00 , 4.00 , 0.00 , 0.00 , 0 
sql/item_create.cc , 0.00 , 4.00 , 0.00 , 1274.39 , 3707.57 , 176.29 , 1.00 , 1.00 , 1.00 , 1.00 , 5.00 , 0.00 , 4.00 , 0.00 , 0.00 , 0.00 , 0.00 , 128.00 , 0.00 , 0.00 , 392.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 5153.25 , 1162.39 , 2897.57 , 1395.29 , 861.86 , 176.29 , 773.00 , 150.00 , 0.00 , 0.00 , 893.14 , 1529.14 , 1033.29 , 0.00 , 495.86 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 19.00 , 12.00 , 21.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.06 , 493.00 , 471.00 , 499.00 , 420.00 , 2304.71 , 2017.82 , 4602.32 , 3235.79 , 7838.11 , 4322.54 , 35920.36 , 1555.86 , 580259.57 , 212.00 , 0.00 , 21.00 , 7.00 , 1.00 , 1.00 , 0 
