id,Filename,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,n1,n2,N1,N2,Len,Voc,Vol,Dif,Eff,AllocOps,DeallocOps,DerefUse,UniqueDerefUse,DerefSet,UniqueDerefSet,AgingRelatedBugs
1,client/mysqlbinlog.cc,3.00,30.36,6.75,177.75,1337.46,608.00,7.00,6.00,7.75,4.00,38.79,3.00,29.75,6.75,0.00,0.00,0.00,1.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2107.68,177.75,1285.96,365.04,879.39,608.00,14.86,36.64,0.00,0.00,642.43,863.46,208.29,17.18,638.00,0.00,0.00,0.00,0.00,0.00,49.43,37.39,57.29,0.00,0.00,0.00,0.00,0.00,0.47,254.86,228.36,278.71,150.79,530.25,973.25,2761.46,1981.39,4742.86,1503.50,29324.07,488.18,801780.21,5.00,13.00,88.00,32.50,14.00,7.00,1
2,sql/log.cc,3.00,19.71,4.04,767.21,3567.96,1579.14,3.79,3.04,4.00,1.00,26.32,3.00,18.82,4.04,0.00,0.00,0.00,3.00,0.00,0.00,137.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5827.32,639.39,2668.39,518.04,1693.75,1329.75,1180.39,67.39,0.00,0.00,1248.43,1707.32,367.75,10.75,1328.82,0.00,0.00,0.00,0.00,0.00,22.00,22.00,25.00,0.00,0.00,0.00,0.00,0.00,0.50,485.00,474.50,586.14,261.96,1868.68,3015.96,7616.07,5618.07,13234.14,4884.64,76905.07,1574.11,1735440.04,3.00,19.00,75.75,23.43,20.54,8.93,1
3,sql/log.h,0.00,2.00,0.00,65.89,419.57,129.71,1.00,1.00,1.00,1.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,38.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,594.18,65.89,391.57,325.64,48.04,129.71,2.00,28.00,0.00,0.00,241.36,291.29,249.61,0.00,41.68,0.00,0.00,0.00,0.00,0.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.33,41.93,41.93,41.93,37.93,214.43,148.54,284.71,170.82,455.54,362.96,1611.96,104.54,6748.39,0.00,1.00,0.00,0.00,0.00,0.00,0
4,sql/log_event.cc,2.00,26.96,4.50,1034.75,5979.71,2629.29,6.29,5.29,7.00,2.00,32.61,2.00,26.29,4.00,0.00,0.00,0.00,1.00,0.00,0.00,94.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9474.00,584.61,2489.46,538.50,1621.86,1021.54,5202.86,335.36,0.00,0.00,1602.79,2036.43,367.75,8.64,1660.04,0.00,0.00,0.00,0.00,0.00,103.71,93.93,103.71,0.00,0.00,0.00,0.00,0.00,0.41,612.79,501.50,666.82,210.07,1428.75,2548.93,7710.96,5789.86,13500.82,3977.68,83481.46,1447.86,3002770.00,44.00,6.00,47.00,13.00,10.00,10.00,1
5,sql/log_event.h,0.00,2.00,0.00,315.75,1498.57,2216.71,1.00,1.00,1.00,1.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,113.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3941.32,288.18,772.50,568.04,123.71,2014.71,568.96,401.68,0.00,0.00,377.32,519.75,417.32,1.00,101.43,0.00,0.00,0.00,0.00,0.00,2.00,2.00,6.00,0.00,0.00,0.00,0.00,0.00,2.61,122.43,122.43,135.68,113.43,661.75,380.43,788.39,427.11,1215.50,1042.18,4082.54,326.18,16094.36,3.00,2.00,0.00,0.00,0.00,0.00,0
6,sql/repl_failsafe.cc,0.00,0.00,0.00,118.61,741.50,191.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1036.79,3.00,0.00,0.00,0.00,24.00,1007.79,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,6.00,0.00,0.00,0.00,0.00,0
7,sql/repl_failsafe.h,0.00,0.00,0.00,9.00,28.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.00,1.00,0.00,0.00,0.00,15.00,34.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
8,sql/rpl_constants.h,0.00,0.00,0.00,4.00,8.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,4.00,5.00,5.00,0.00,7.00,0.00,3.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
9,sql/rpl_filter.cc,1.00,11.00,1.00,82.00,344.46,128.00,2.00,2.00,3.00,1.00,12.00,1.00,11.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,547.46,82.00,340.46,95.00,170.46,128.00,0.00,4.00,0.00,0.00,148.46,221.46,64.00,1.00,156.46,0.00,0.00,0.00,0.00,0.00,10.00,10.00,14.00,0.00,0.00,0.00,0.00,0.00,0.38,72.00,72.00,80.00,41.00,342.00,391.46,945.46,663.46,1608.93,733.46,7934.82,271.82,116373.57,3.00,0.00,2.00,1.00,1.00,1.00,0
10,sql/rpl_filter.h,0.00,0.00,0.00,28.00,60.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.00,28.00,56.00,52.00,0.00,29.00,0.00,4.00,0.00,0.00,49.00,49.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
