,ALL,CF,IG 10,IG 15,FISHER,RF-RFE 10,RF-RFE 15,MRMR 10,MRMR 15,MRMR HFS,HFS NEW
Linux_Driver_Net,0.81,0.48,0.64,0.64,0.81,0.81,0.81,0.81,0.81,0.49,0.49
Linux_Driver_Scsi,0.56,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.5,0.5
Linux_Ext3,0.36,0.36,0.68,0.5,0.36,0.36,0.36,0.36,0.36,0.5,0.5
Mysql_Replication,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Linux_Ipv4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Mysql_Innodb,0.67,0.69,0.67,0.66,0.68,0.68,0.66,0.69,0.68,0.71,0.71
Mysql_Optimizer,0.9,0.95,0.95,0.95,0.95,0.95,0.9,0.95,0.95,1,1
Activemq-5,0.66,0.8,0.76,0.69,0.75,0.7,0.71,0.75,0.69,0.79,0.8
Derby-10,0.51,0.63,0.6,0.61,0.62,0.61,0.57,0.68,0.6,0.62,0.62
Groovy.1_6_Beta_1,0.5,0.72,0.7,0.5,0.7,0.71,0.67,0.72,0.7,0.5,0.65
hbase-0,0.47,0.72,0.79,0.71,0.74,0.76,0.66,0.74,0.76,0.56,0.75
Hive-0,0.59,0.64,0.63,0.61,0.62,0.64,0.61,0.69,0.65,0.52,0.62
Jruby-1,0.53,0.8,0.8,0.8,0.79,0.78,0.78,0.82,0.81,0.79,0.76
Wicket-1,0.59,0.61,0.63,0.61,0.61,0.61,0.61,0.6,0.6,0.59,0.64
Ant-1,0.7,0.7,0.71,0.7,0.69,0.71,0.68,0.69,0.7,0.74,0.69
Camel-1,0.59,0.59,0.58,0.59,0.61,0.57,0.57,0.6,0.61,0.55,0.58
Ivy-2,0.59,0.62,0.59,0.59,0.59,0.58,0.6,0.58,0.58,0.59,0.62
Jedit-4.0,0.63,0.64,0.63,0.59,0.57,0.53,0.59,0.7,0.63,0.49,0.65
log4j-1,0.71,0.66,0.64,0.73,0.73,0.56,0.68,0.71,0.66,0.6,0.64
Poi-2,0.46,0.48,0.46,0.46,0.46,0.45,0.46,0.46,0.46,0.48,0.47
Tomcat,0.69,0.69,0.68,0.71,0.71,0.72,0.69,0.71,0.69,0.64,0.64
Velocity-1,0.59,0.6,0.6,0.6,0.6,0.58,0.6,0.58,0.59,0.56,0.59
Xalan-2,0.6,0.61,0.62,0.6,0.62,0.61,0.6,0.61,0.61,0.6,0.62
Xerces-1,0.67,0.71,0.7,0.66,0.67,0.67,0.66,0.67,0.63,0.71,0.5
