,ALL,CF,IG 10,IG 15,FISHER,RF-RFE 10,RF-RFE 15,MRMR 10,MRMR 15,MRMR HFS,HFS NEW,,,,
Linux_Driver_Net,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,
Linux_Driver_Scsi,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,
Linux_Ext3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,
Mysql_Replication,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,
Linux_Ipv4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,
Mysql_Innodb,0.5,0.53,0.54,0.54,0.54,0.53,0.54,0.64,0.59,0.64,0.52,,,,
Mysql_Optimizer,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,
Activemq-5,0.63,0.69,0.64,0.64,0.63,0.65,0.63,0.64,0.64,0.69,0.53,,,,
Derby-10,0.55,0.58,0.59,0.59,0.58,0.59,0.6,0.59,0.56,0.57,0.57,,,,
Groovy.1_6_Beta_1,0.58,0.63,0.68,0.62,0.63,0.58,0.63,0.63,0.7,0.56,0.61,,,,
hbase-0,0.63,0.7,0.63,0.64,0.69,0.66,0.66,0.69,0.66,0.59,0.6,,,,
Hive-0,0.75,0.66,0.72,0.73,0.68,0.72,0.72,0.66,0.65,0.6,0.62,,,,
Jruby-1,0.7,0.76,0.75,0.75,0.74,0.75,0.71,0.75,0.75,0.78,0.69,,,,
Wicket-1,0.55,0.57,0.55,0.57,0.56,0.51,0.55,0.57,0.58,0.54,0.54,,,,
Ant-1,0.65,0.69,0.65,0.65,0.66,0.65,0.65,0.66,0.66,0.69,0.7,,,,
Camel-1,0.55,0.51,0.54,0.53,0.53,0.54,0.54,0.54,0.55,0.55,0.5,,,,
Ivy-2,0.51,0.6,0.51,0.5,0.6,0.6,0.51,0.6,0.5,0.6,0.6,,,,
Jedit-4.0,0.68,0.59,0.54,0.64,0.66,0.66,0.66,0.68,0.54,0.63,0.59,,,,
log4j-1,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.64,0.63,,,,
Poi-2,0.54,0.5,0.5,0.5,0.5,0.54,0.54,0.5,0.5,0.47,0.49,,,,
Tomcat,0.52,0.57,0.52,0.52,0.55,0.52,0.52,0.55,0.52,0.58,0.58,,,,
Velocity-1,0.7,0.64,0.62,0.7,0.58,0.6,0.7,0.56,0.58,0.58,0.61,,,,
Xalan-2,0.57,0.56,0.56,0.57,0.57,0.56,0.57,0.57,0.57,0.56,0.56,,,,
Xerces-1,0.6,0.6,0.64,0.59,0.59,0.64,0.62,0.64,0.62,0.64,0.63,,,,
