,ALL,CF,IG 10,IG 15,FISHER,RF-RFE 10,RF-RFE 15,MRMR 10,MRMR 15,MRMR HFS,HFS NEW
Ant-1,0.7,0.7,0.71,0.7,0.69,0.71,0.68,0.69,0.7,0.74,0.69
Camel-1,0.59,0.59,0.58,0.59,0.61,0.57,0.57,0.6,0.61,0.55,0.58
Ivy-2,0.59,0.62,0.59,0.59,0.59,0.58,0.6,0.58,0.58,0.59,0.62
Jedit-4.0,0.63,0.64,0.63,0.59,0.57,0.53,0.59,0.7,0.63,0.49,0.65
log4j-1,0.71,0.66,0.64,0.73,0.73,0.56,0.68,0.71,0.66,0.6,0.64
Poi-2,0.46,0.48,0.46,0.46,0.46,0.45,0.46,0.46,0.46,0.48,0.47
Tomcat,0.69,0.69,0.68,0.71,0.71,0.72,0.69,0.71,0.69,0.64,0.64
Velocity-1,0.59,0.6,0.6,0.6,0.6,0.58,0.6,0.58,0.59,0.56,0.59
Xalan-2,0.6,0.61,0.62,0.6,0.62,0.61,0.6,0.61,0.61,0.6,0.62
Xerces-1,0.67,0.71,0.7,0.66,0.67,0.67,0.66,0.67,0.63,0.71,0.5
