,ALL,CF,IG 10,IG 15,FISHER,RF-RFE 10,RF-RFE 15,MRMR 10,MRMR 15,MRMR HFS,HFS NEW
Ant-1,0.65,0.69,0.65,0.65,0.66,0.65,0.65,0.66,0.66,0.69,0.7
Camel-1,0.55,0.51,0.54,0.53,0.53,0.54,0.54,0.54,0.55,0.55,0.5
Ivy-2,0.51,0.6,0.51,0.5,0.6,0.6,0.51,0.6,0.5,0.6,0.6
Jedit-4.0,0.68,0.59,0.54,0.64,0.66,0.66,0.66,0.68,0.54,0.63,0.59
log4j-1,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.64,0.63
Poi-2,0.54,0.5,0.5,0.5,0.5,0.54,0.54,0.5,0.5,0.47,0.49
Tomcat,0.52,0.57,0.52,0.52,0.55,0.52,0.52,0.55,0.52,0.58,0.58
Velocity-1,0.7,0.64,0.62,0.7,0.58,0.6,0.7,0.56,0.58,0.58,0.61
Xalan-2,0.57,0.56,0.56,0.57,0.57,0.56,0.57,0.57,0.57,0.56,0.56
Xerces-1,0.6,0.6,0.64,0.59,0.59,0.64,0.62,0.64,0.62,0.64,0.63
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
